Date,Open,High,Low,Close,Volume,Market Cap
2014-07-18,0.10220499999999999,0.12079200000000001,0.092364,0.11422,310728,1022050
2014-07-19,0.11429,0.24449899999999997,0.113033,0.182602,708810,1142900
2014-07-20,0.179992,0.196889,0.137501,0.13919,383129,1801750
2014-07-21,0.139206,0.14923,0.073926,0.11289,184894,1398250
2014-07-22,0.112052,0.143062,0.105925,0.12447799999999999,107872,1129350
2014-07-23,0.12358,0.142516,0.093092,0.102016,82505,1249600
2014-07-24,0.09893500000000001,0.105032,0.090413,0.10219600000000001,31362,1002760
2014-07-25,0.10157000000000001,0.138019,0.097577,0.11315399999999999,82034,1031910
2014-07-26,0.113239,0.137061,0.110027,0.125975,22382,1153170
2014-07-27,0.125945,0.162856,0.12476400000000001,0.130793,120677,1285150
2014-07-28,0.130946,0.153744,0.128493,0.139024,118246,1338860
2014-07-29,0.138916,0.14619000000000001,0.13003599999999998,0.131601,104630,1423160
2014-07-30,0.131605,0.157616,0.129438,0.142774,50614,1350590
2014-07-31,0.13830599999999998,0.25993299999999997,0.130294,0.23181100000000002,323397,1421730
2014-08-01,0.231871,0.244679,0.21525999999999998,0.223654,145019,2387490
2014-08-02,0.223652,0.223652,0.185507,0.202149,101788,2306680
2014-08-03,0.201999,0.21516500000000002,0.17644300000000002,0.190442,51947,2086810
2014-08-04,0.187844,0.21804400000000002,0.187247,0.206132,32500,1943760
2014-08-05,0.201532,0.22558000000000003,0.197228,0.204994,35681,2088840
2014-08-06,0.205175,0.24560300000000002,0.20506300000000002,0.23256999999999997,57661,2130090
2014-08-07,0.233963,0.24393,0.22109499999999999,0.22383699999999998,41118,2432960
2014-08-08,0.22384,0.246391,0.22384,0.234302,35042,2331510
2014-08-09,0.23426100000000002,0.326208,0.23426100000000002,0.313714,204832,2444050
2014-08-10,0.315515,0.315598,0.276593,0.27894,66074,3297130
2014-08-11,0.278598,0.402979,0.276552,0.370553,159139,2916130
2014-08-12,0.374607,0.38098899999999997,0.321746,0.36648400000000003,121039,3927460
2014-08-13,0.366231,0.368012,0.309954,0.309954,101536,3845740
2014-08-14,0.309668,0.31551399999999996,0.206508,0.229496,149612,3257040
2014-08-15,0.227448,0.25407399999999997,0.164454,0.18145999999999998,94015,2396170
2014-08-16,0.181807,0.195549,0.14316099999999998,0.175966,57826,1918450
2014-08-17,0.17494400000000002,0.17715999999999998,0.142569,0.17238499999999998,31199,1849030
2014-08-18,0.172284,0.201997,0.151469,0.155632,22091,1823870
2014-08-19,0.155639,0.17183900000000002,0.13830399999999998,0.149206,40613,1650320
2014-08-20,0.14906,0.17105,0.137027,0.165659,26930,1583100
2014-08-21,0.17437,0.176956,0.160474,0.161106,12207,1854900
2014-08-22,0.160919,0.166438,0.152526,0.159965,9790,1714560
2014-08-23,0.159795,0.159902,0.134831,0.134831,30847,1705320
2014-08-24,0.134845,0.145993,0.131663,0.13556700000000002,8435,1441160
2014-08-25,0.13558,0.154112,0.133037,0.141521,19164,1449020
2014-08-26,0.141495,0.146744,0.10468,0.118177,43509,1512230
2014-08-27,0.11823399999999999,0.12272999999999999,0.104101,0.11488499999999999,15823,1269870
2014-08-28,0.11478800000000002,0.160877,0.11308299999999999,0.14548699999999998,33119,1234800
2014-08-29,0.146057,0.153151,0.130021,0.136728,18160,1573590
2014-08-30,0.136749,0.139253,0.12366300000000001,0.12906199999999998,9336,1475550
2014-08-31,0.128729,0.138286,0.11929000000000001,0.119551,5186,1391260
2014-09-01,0.11946,0.129024,0.118394,0.12284300000000001,6666,1293110
2014-09-02,0.122241,0.218441,0.12184400000000001,0.203632,214947,1325270
2014-09-03,0.193252,0.22001300000000001,0.179702,0.209575,129959,2098370
2014-09-04,0.205357,0.24065599999999998,0.200684,0.207967,100452,2233130
2014-09-05,0.204751,0.23303200000000002,0.180793,0.207682,84293,2229950
