Date,Open,High,Low,Close,Volume,Market Cap
2017-10-10,0.202395,0.33960300000000004,0.202106,0.22469699999999998,28548,-
2017-10-11,0.22465900000000003,0.228444,0.20385899999999998,0.204942,14269,5416570
2017-10-12,0.20511500000000002,0.244529,0.18289,0.19534,96436,4963260
2017-10-13,0.195951,0.256303,0.151877,0.177137,35191,4758490
2017-10-14,0.17718499999999998,0.203061,0.154096,0.171955,24367,4317760
2017-10-15,0.172261,0.202155,0.16284,0.163168,28056,4212320
2017-10-16,0.163183,0.182627,0.160046,0.17110899999999998,37917,4004370
2017-10-17,0.170998,0.175352,0.138496,0.139058,21335,4210790
2017-10-18,0.139222,0.202016,0.118995,0.15397,23866,3440130
2017-10-19,0.15405,0.267198,0.152048,0.26523800000000003,31575,3819760
2017-10-20,0.265296,0.285582,0.189652,0.247272,55699,6600490
2017-10-21,0.24676700000000001,0.24676700000000001,0.13992000000000002,0.14215899999999998,19662,6160820
2017-10-22,0.14219500000000002,0.18649000000000002,0.131762,0.147694,17258,3561870
2017-10-23,0.147457,0.21699000000000002,0.079888,0.15001199999999998,19906,3705960
2017-10-24,0.149675,0.20830300000000002,0.10388299999999999,0.139989,25543,3774500
2017-10-25,0.14005,0.152576,0.11175,0.120206,12626,3543670
2017-10-26,0.12019,0.15440399999999999,0.119957,0.151335,32880,3051010
2017-10-27,0.151349,0.15868800000000002,0.13488499999999998,0.136949,27620,3855000
2017-10-28,0.137311,0.146821,0.12248900000000001,0.138373,13374,3508980
2017-10-29,0.138454,0.139191,0.116829,0.129768,16652,3549670
2017-10-30,0.128935,0.128935,0.074523,0.08881499999999999,15273,3316380
2017-10-31,0.088572,0.128686,0.077081,0.10651300000000001,15660,2285640
2017-11-01,0.10635399999999999,0.136744,0.104109,0.130025,9450,2749030
2017-11-02,0.1302,0.14718299999999998,0.122866,0.132439,10812,3370990
2017-11-03,0.132266,0.13836600000000002,0.125316,0.132712,13303,3430160
2017-11-04,0.132366,0.14106,0.127501,0.135108,9101,3438330
2017-11-05,0.134853,0.136176,0.10539000000000001,0.106353,6466,3508040
2017-11-06,0.106573,0.123953,0.094888,0.12067,9551,2776820
2017-11-07,0.10605999999999999,0.144404,0.103564,0.12306700000000001,13592,2767920
2017-11-08,0.12284400000000001,0.134122,0.11394000000000001,0.133757,8367,3210950
2017-11-09,0.133653,0.133653,0.10679300000000001,0.119743,7105,3496970
2017-11-10,0.120047,0.126323,0.09618099999999999,0.09618099999999999,7848,3144790
2017-11-11,0.095863,0.147752,0.086937,0.12531199999999998,13126,2515280
2017-11-12,0.125563,0.158184,0.087043,0.088521,7871,3299490
2017-11-13,0.088917,0.09871100000000001,0.078729,0.094172,15110,2340180
2017-11-14,0.094303,0.106552,0.09173200000000001,0.099619,11063,2485870
2017-11-15,0.099604,0.112397,0.099604,0.110133,6668,2629910
