Date,Open,High,Low,Close,Volume,Market Cap
2016-06-08,0.23881999999999998,0.401827,0.23875300000000002,0.401335,1668,2712630
2016-06-09,0.40171999999999997,0.40171999999999997,0.183275,0.318345,298,2193360
2016-06-10,0.31956599999999996,0.319703,0.206562,0.23018000000000002,953,1751460
2016-06-11,0.230659,0.23201999999999998,0.197166,0.229343,808,1268960
2016-06-12,0.230461,0.23936500000000002,0.179873,0.188386,3,1272760
2016-06-13,0.18807000000000001,0.245579,0.13633499999999998,0.239488,1347,1042720
2016-06-14,0.239531,0.240785,0.132899,0.137461,585,1333190
2016-06-15,0.137487,0.241271,0.136943,0.208341,533,768210
2016-06-16,0.208957,0.224769,0.068633,0.069083,137,1171960
2016-06-17,0.069279,0.21882600000000002,0.0685,0.082429,307,389985
2016-06-18,0.082363,0.21760700000000002,0.080732,0.196536,280,465332
2016-06-19,0.196656,0.19910799999999998,0.19378099999999998,0.196189,177,1115130
2016-06-20,0.196329,0.196329,0.149426,0.14966400000000002,407,1117410
2016-06-21,0.149392,0.23830300000000001,0.13301300000000002,0.23266199999999998,492,853439
2016-06-22,0.232404,0.23685599999999998,0.13192,0.208581,262,1332620
2016-06-23,0.20904499999999998,0.219006,0.125572,0.217144,100,1202850
2016-06-24,0.2177,0.23724099999999998,0.21759499999999998,0.231458,135,1256990
2016-06-25,0.23145100000000002,0.24065300000000003,0.231016,0.236256,127,1341250
2016-06-26,0.22115,0.221334,0.18508,0.20768499999999998,396,1286540
2016-06-27,0.207679,0.214598,0.194699,0.203129,45,1211680
2016-06-28,0.204005,0.21524699999999997,0.163104,0.20704,827,1194330
2016-06-29,0.206119,0.2251,0.129445,0.223635,405,1210830
2016-06-30,0.22388000000000002,0.22461,0.14361500000000002,0.21479499999999999,482,1319740
2016-07-01,0.21453200000000003,0.237934,0.2136,0.236298,357,1269110
2016-07-02,0.23645100000000002,0.237655,0.228356,0.237148,184,1403340
2016-07-03,0.23757399999999998,0.23757399999999998,0.172443,0.19891,182,1414640
2016-07-04,0.198952,0.238933,0.196447,0.238933,522,1188920
2016-07-05,0.238775,0.238873,0.167311,0.167677,271,1431920
2016-07-06,0.167625,0.217504,0.167625,0.216746,123,1008700
2016-07-07,0.216989,0.21837800000000002,0.151294,0.192169,172,1310290
2016-07-08,0.192206,0.200012,0.19094,0.199957,185,1164770
2016-07-09,0.199915,0.222978,0.190647,0.221196,160,1215680
2016-07-10,0.22107399999999996,0.22164899999999998,0.192386,0.19481400000000001,2,1348860
2016-07-11,0.194552,0.219873,0.17466900000000002,0.21890199999999999,359,1190980
2016-07-12,0.219113,0.219362,0.171496,0.199033,137,1346060
2016-07-13,0.199107,0.200276,0.196853,0.197947,1,1227100
2016-07-15,0.162786,0.17592,0.046424,0.175763,179,1012600
2016-07-16,0.175902,0.177049,0.118773,0.175751,31,1095100
2016-07-17,0.176077,0.181509,0.176077,0.18073599999999998,68,1099740
2016-07-18,0.180829,0.23466700000000001,0.17842,0.23424099999999998,724,1133130
2016-07-19,0.23411300000000002,0.234971,0.21968800000000002,0.22137199999999999,249,1471900
2016-07-20,0.22135300000000002,0.221394,0.19783699999999999,0.20635599999999998,168,1396300
2016-07-21,0.20621399999999998,0.206521,0.20472200000000002,0.20608200000000002,82,1305300
2016-07-23,0.13738699999999998,0.190171,0.13738699999999998,0.186833,217,875467
2016-07-24,0.186792,0.187937,0.158693,0.18582100000000001,108,1193990
2016-07-25,0.185815,0.185974,0.183604,0.183801,73,1191480
2016-07-26,0.183838,0.18417999999999998,0.18382,0.183981,73,1182510
2016-07-27,0.166021,0.176242,0.166021,0.175759,200,1071670
2016-07-28,0.175797,0.17663,0.175797,0.17587,46,1138100
2016-07-31,0.170291,0.196247,0.170291,0.193645,181,1116350
2016-08-01,0.19362000000000001,0.194091,0.186612,0.186638,120,1269780
2016-08-02,0.18677,0.18898399999999999,0.1594,0.16423900000000002,161,1228690
2016-08-03,0.164597,0.17028800000000002,0.162464,0.164243,122,1086230
2016-08-04,0.164235,0.167717,0.119402,0.12204200000000001,0,1087150
2016-08-05,0.12204000000000001,0.16695,0.12074800000000001,0.166682,154,810564
2016-08-06,0.166678,0.17027,0.16506600000000002,0.169954,2,1110510
2016-08-09,0.17043,0.17108199999999998,0.170104,0.170345,92,1147520
2016-08-10,0.1703,0.173729,0.16436800000000001,0.166973,152,1148770
2016-08-11,0.166979,0.16830799999999999,0.128965,0.166709,196,1129750
2016-08-12,0.16661800000000002,0.166933,0.165207,0.166001,51,1130810
2016-08-17,0.16207,0.16265,0.16,0.1605,0,1117690
2016-08-18,0.160638,0.162875,0.160564,0.162526,34,1111140
2016-08-19,0.16253199999999998,0.163636,0.16248800000000002,0.163142,34,1127570
2016-08-23,0.133187,0.133805,0.132025,0.132429,126,935107
2016-08-24,0.11853,0.15675799999999998,0.087765,0.15611,88,836110
2016-08-25,0.156127,0.156199,0.103551,0.155551,50,1102500
2016-08-26,0.155533,0.15654400000000002,0.104326,0.15596600000000002,68,1101650
2016-08-27,0.15598399999999998,0.15603599999999998,0.15301800000000002,0.153602,48,1108170
2016-08-28,0.15351199999999998,0.15401099999999998,0.103057,0.152657,68,1093620
2016-08-29,0.11482,0.153452,0.11477899999999999,0.114817,53,820389
2016-08-30,0.114821,0.115729,0.114821,0.115532,11,822831
2016-08-31,0.115558,0.11563,0.114897,0.11496600000000001,0,830702
2016-09-01,0.14638099999999998,0.14638099999999998,0.145807,0.145926,18,1056480
2016-09-02,0.143076,0.146701,0.11518099999999999,0.11518900000000001,158,1034660
2016-09-03,0.14675,0.152273,0.11954200000000001,0.11968499999999999,7,1064220
2016-09-04,0.15194000000000002,0.15295899999999998,0.093284,0.093718,81,1104940
2016-09-05,0.093797,0.16221,0.093609,0.128919,60,684079
2016-09-06,0.166964,0.168128,0.133931,0.134293,0,1221150
2016-09-07,0.168004,0.16913499999999998,0.167475,0.16913499999999998,0,1232230
2016-09-08,0.169123,0.173044,0.16893,0.172401,0,1243960
2016-09-09,0.172378,0.17251,0.137018,0.137043,3,1271470
2016-09-10,0.17141800000000001,0.930632,0.143157,0.16836099999999998,257,1268070
2016-09-11,0.14342,0.623346,0.143326,0.175949,109,1064040
2016-09-12,0.30336,0.304223,0.152788,0.24325500000000003,2,2257180
2016-09-13,0.242689,0.24301799999999998,0.152032,0.152289,66,1810980
2016-09-14,0.176564,0.176596,0.15215,0.152695,77,1321200
2016-09-15,0.152677,0.17022400000000001,0.136597,0.169917,11,1145500
2016-09-16,0.169888,0.170477,0.169758,0.169823,4,1278060
2016-09-17,0.169819,0.17588,0.169473,0.17571900000000001,27,1281020
2016-09-18,0.175675,0.176643,0.13693699999999998,0.158576,29,1328880
2016-09-19,0.158566,0.16453199999999998,0.094359,0.094441,1569,1202830
2016-09-20,0.15043,0.15049400000000002,0.094684,0.137034,713,1144210
2016-09-21,0.13685799999999998,0.137428,0.10018200000000001,0.13731600000000002,249,1043880
2016-09-22,0.13733199999999998,0.145799,0.12086600000000002,0.14544300000000002,393,1050350
2016-09-23,0.145455,0.150801,0.10158500000000001,0.15071500000000002,465,1115630
2016-09-24,0.15070999999999998,0.152258,0.10543699999999999,0.10550999999999999,53,1159150
2016-09-25,0.15149400000000002,0.15168399999999999,0.105494,0.150203,1,1168470
2016-09-26,0.14928699999999998,0.151093,0.149169,0.151093,1,1154800
2016-09-27,0.15105,0.15110099999999999,0.139539,0.150565,1,1171610
2016-09-28,0.150572,0.150677,0.12166700000000001,0.12166700000000001,1,1171120
2016-09-29,0.121653,0.150557,0.121653,0.134746,2,948815
2016-09-30,0.134767,0.15051900000000001,0.121608,0.147674,2,1053850
2016-10-01,0.14769000000000002,0.1484,0.123325,0.123591,6,1158160
2016-10-02,0.12359500000000001,0.147,0.12310499999999999,0.146551,1,971881
2016-10-03,0.146541,0.146597,0.140501,0.146591,1,1155430
2016-10-04,0.146606,0.146606,0.138812,0.14338900000000002,32,1158870
